created_on,operation,property_type,place_name,place_with_parent_names,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_in_m2,price_usd_per_m2,floor,rooms,expenses,properati_url,image_thumbnail
2012-08-08,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"","","",,"","","",500,,,3,,http://www.properati.com.ar/y0_alquiler_casa_pilar__,http://cf-thumbs.properati.com.ar/vxqI5JwLzTpjEI3YndyjtcloeJ4=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM3931_2.jpg
2012-09-19,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"","","",2200.0,USD,12668.06,2200.0,230,9.565217391304348,,,,http://www.properati.com.ar/u86_alquiler_casa_pilar__,http://cf-thumbs.properati.com.ar/KQoG8ZzzuS-dqEW_cYf8lqBmJ3Y=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM31190_2.jpg
2012-09-27,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.576888,-58.423476",-34.576888,-58.423476,15000.0,ARS,15150.54,2631.12,120,21.926,9,4,2500,http://www.properati.com.ar/w7u_alquiler_departamento_palermo_juncal_4600,http://cf-thumbs.properati.com.ar/cS1xllj01GT5sNVZMKZIfTpffYA=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA324_2.jpg
2012-10-08,rent,house,Luján,|Argentina|Buenos Aires Interior|Luján|Luján|,3430982,"-34.484812,-59.069101",-34.484812,-59.069101,16000.0,ARS,16160.53,2806.52,,,,,,http://www.properati.com.ar/12io_alquiler_casa_lujan_buenos-aires-100_,http://cf-thumbs.properati.com.ar/tfQYV1vXG8TEQDEI9MiD4m4Kotw=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FSIR%2FSIR213_2.jpg
2012-10-10,rent,apartment,Puerto Madero,|Argentina|Capital Federal|Puerto Madero|,3429760,"-34.609439,-58.362846",-34.609439,-58.362846,25000.0,ARS,25250.91,4385.2,200,21.926,14,4,,http://www.properati.com.ar/13kc_alquiler_departamento_puerto-madero__,http://cf-thumbs.properati.com.ar/as3bBzKhckwOR5hX3m1mnPhC1gM=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA331_2.jpg
2012-10-10,rent,house,Tigre,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,,"","","",22000.0,ARS,22220.76,3858.97,350,11.025628571428571,,,,http://www.properati.com.ar/148s_alquiler_casa_tigre__,http://cf-thumbs.properati.com.ar/WII73bztA4Lo2BIg3dXwfhPZtEA=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM2589_2.jpg
2012-10-10,rent,house,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,,"-34.579306,-58.434735",-34.579306,-58.434735,15000.0,ARS,15150.54,2631.12,195,13.492923076923077,,,,http://www.properati.com.ar/14cc_alquiler_casa_palermo-hollywood_carranza-angel-justiniano_2100,http://cf-thumbs.properati.com.ar/L892tU4G2E5ahFUd0b9_cv-5zVE=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FCAZ%2FCAZ688_2.jpg
2012-10-10,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"","","",4500.0,USD,25911.95,4500.0,490,9.183673469387756,,3,,http://www.properati.com.ar/14fk_alquiler_casa_pilar_bahia-blanca_,http://cf-thumbs.properati.com.ar/E87SbrQ8c0xM97bemLGjaMP378Y=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM3786_2.jpg
2012-10-10,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"","","",4000.0,USD,23032.85,4000.0,500,8.0,,4,,http://www.properati.com.ar/14fl_alquiler_casa_pilar__,http://cf-thumbs.properati.com.ar/6di5_6af_bFIPZ8cpx-jRnxMW1c=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM3784_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.585293,-58.418672",-34.585293,-58.418672,23500.0,ARS,23735.81,4122.08,280,14.721714285714285,7,5,3000,http://www.properati.com.ar/1690_alquiler_departamento_palermo_malabia_2400,http://cf-thumbs.properati.com.ar/EEpOwY1K3UyrgwHVorbtk8YgAKQ=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA303_2.jpg
2012-10-10,rent,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,,"-34.56511,-58.434415",-34.56511,-58.434415,5500.0,USD,31670.16,5500.0,200,27.5,1,4,,http://www.properati.com.ar/1771_alquiler_departamento_las-canitas_del-libertador-av-_4800,http://cf-thumbs.properati.com.ar/Sztrxlvk4JDb7EpP8OiLrmN04GQ=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA210_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.56511,-58.434415",-34.56511,-58.434415,38000.0,ARS,38381.36,6665.5,190,35.08157894736842,19,4,,http://www.properati.com.ar/177b_alquiler_departamento_palermo_del-libertador-av-_4800,http://cf-thumbs.properati.com.ar/1H5NE6FyjbRyCRoj-YNZukH-ESI=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA194_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.576888,-58.423476",-34.576888,-58.423476,15000.0,ARS,15150.54,2631.12,120,21.926,5,3,,http://www.properati.com.ar/177e_alquiler_departamento_palermo_juncal_4600,http://cf-thumbs.properati.com.ar/czxhhIPEmi154NmxXkHn7A7F6Ec=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA179_2.jpg
2012-10-10,rent,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,,"-34.582473,-58.432722",-34.582473,-58.432722,2300.0,USD,13243.88,2300.0,85,27.058823529411764,25,3,,http://www.properati.com.ar/177g_alquiler_departamento_palermo-hollywood_humboldt_2000,http://cf-thumbs.properati.com.ar/Y4Iw4PvGH4aowVYFEqhebYdAZ0E=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA191_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.575551,-58.422419",-34.575551,-58.422419,6500.0,USD,37428.38,6500.0,300,21.666666666666668,27,5,5200,http://www.properati.com.ar/177i_alquiler_departamento_palermo_godoy-cruz_3000,http://cf-thumbs.properati.com.ar/3b6p1HgnIUamsNQ94gDGqXeNel8=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA188_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.587595,-58.40918",-34.587595,-58.40918,6500.0,USD,37428.38,6500.0,259,25.096525096525095,19,5,,http://www.properati.com.ar/177k_alquiler_departamento_palermo_diaz-cnel-av-_2100,http://cf-thumbs.properati.com.ar/WnQU7ddTeCIQV0ND4NTiWaiALmI=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA168_2.jpg
2012-10-10,rent,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,,"-34.577764,-58.403441",-34.577764,-58.403441,26000.0,ARS,26260.9,4560.6,255,17.884705882352943,4,4,,http://www.properati.com.ar/177p_alquiler_departamento_palermo-chico_figueroa-alcorta-pres-av-_3400,http://cf-thumbs.properati.com.ar/KG7XhRiltTEFgTViJ-hcmR2artA=/198x0/smart/filters:strip_icc()/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA157_2.jpg
